Property_ID,Location,Property_Type,Monthly_Rent,Vacancy_Status,Square_Footage,Bedrooms,Bathrooms,Date_Added,Lease_Length_Months,Tenant_Income,Maintenance_Cost,Property_Age,Landlord_ID,Last_Renovation_Date,Utilities_Included,Rent_Increase,Complaint_Count,Satisfaction_Score,Market_Value
1,Montreal,Condo,3783,Rented,2425,4,3,2023-03-18,9,10097,699,21,331,2020-03-30,No,0.24,14,1,476109
2,Vancouver,Townhouse,3301,Rented,2816,1,2,2015-07-08,33,7305,198,59,402,2015-07-30,Yes,2.13,0,2,300693
3,Winnipeg,Condo,3704,Vacant,2540,3,1,2017-09-11,31,3016,176,39,422,2016-04-20,No,4.75,17,9,442548
4,Ottawa,Condo,876,Rented,405,4,1,2022-08-23,22,9401,353,10,41,2018-05-04,No,4.29,13,3,64491
5,Toronto,Townhouse,2727,Vacant,503,3,3,2023-02-13,23,9964,835,63,197,2020-12-14,No,2.5,11,8,933513
6,Montreal,Apartment,974,Vacant,3803,1,1,2018-02-24,16,10732,452,83,231,2018-07-13,No,4.06,13,3,723910
7,Halifax,House,2135,Vacant,3949,2,3,2020-04-04,12,7138,145,9,237,2018-05-19,Yes,4.95,12,2,306233
8,Montreal,Townhouse,1634,Vacant,2551,4,1,2022-07-24,9,9691,712,95,108,2018-07-12,No,1.38,16,3,378935
9,Montreal,House,1557,Vacant,1995,2,3,2018-03-24,17,5626,946,9,327,2021-02-16,Yes,4.23,8,3,931824
10,Montreal,House,1537,Vacant,2718,4,2,2018-12-28,17,8287,716,13,120,2015-05-10,No,4.59,10,5,816456
11,Winnipeg,House,1345,Rented,1615,1,2,2019-05-20,22,6892,723,17,456,2020-01-07,Yes,1.49,12,9,843790
12,Halifax,Condo,3632,Vacant,2169,1,2,2018-06-27,33,11341,430,77,59,2020-12-22,Yes,0.16,4,9,898542
13,Toronto,Apartment,3818,Rented,3601,3,1,2018-08-25,32,4643,124,55,3,2015-05-21,Yes,4.44,15,2,954804
14,Calgary,Apartment,2821,Rented,3582,2,2,2023-01-16,23,8081,840,93,414,2020-02-09,Yes,2.98,18,2,639004
15,Halifax,Townhouse,1919,Rented,3535,1,3,2017-10-21,14,3066,637,31,125,2020-09-24,Yes,4.1,18,7,855476
16,Calgary,House,1044,Rented,3296,1,1,2018-09-26,6,8379,439,50,16,2022-10-22,No,0.5,8,8,310997
17,Winnipeg,Townhouse,2827,Vacant,2797,2,1,2023-01-28,31,5498,412,52,79,2023-02-13,No,4.7,0,9,583705
18,Montreal,Condo,1930,Vacant,606,3,2,2016-11-05,29,8527,647,8,226,2021-01-17,Yes,3.8,5,6,110284
19,Toronto,Apartment,1587,Rented,3744,1,1,2016-02-15,26,7685,416,76,151,2022-11-11,No,1.43,19,7,295293
20,Ottawa,Townhouse,2820,Rented,1719,1,3,2017-08-15,24,4075,421,71,78,2015-03-07,Yes,0.77,9,6,322110
21,Halifax,House,2873,Rented,580,3,3,2022-05-20,34,4718,511,47,82,2019-04-29,No,0.98,12,5,357265
22,Ottawa,Townhouse,3858,Rented,1448,3,3,2023-02-04,22,6942,838,62,496,2023-12-28,Yes,1.41,11,2,71051
23,Vancouver,Townhouse,2438,Rented,3729,3,2,2020-07-31,25,6225,798,37,35,2020-02-15,No,4.85,7,1,103109
24,Calgary,Townhouse,929,Vacant,3700,2,2,2020-01-23,35,10056,610,8,80,2019-11-29,No,3.95,6,9,432944
25,Halifax,Condo,1339,Rented,1071,2,1,2020-07-25,23,8839,734,82,108,2021-10-14,Yes,1.82,14,5,953064
26,Ottawa,Apartment,3260,Vacant,1406,3,1,2022-11-11,30,5835,637,7,113,2020-06-10,Yes,2.76,17,6,453947
27,Edmonton,Apartment,2460,Rented,3691,1,3,2022-05-23,9,6985,980,32,334,2023-09-18,Yes,3.13,3,2,365530
28,Vancouver,Townhouse,1346,Rented,3523,1,1,2021-04-05,16,5042,395,88,102,2016-03-30,Yes,2.67,2,7,502511
29,Toronto,Condo,2830,Rented,1911,4,2,2022-08-23,10,6064,121,24,173,2021-02-14,Yes,0.41,19,3,692916
30,Calgary,Apartment,1035,Rented,3976,2,1,2022-09-10,13,2946,657,61,82,2022-10-08,No,0.3,4,2,793136
31,Halifax,House,2569,Vacant,1912,2,3,2021-09-01,13,3215,858,50,462,2019-05-07,No,1.85,4,4,153132
32,Calgary,Townhouse,1209,Rented,3770,1,2,2015-03-10,28,10006,585,70,42,2020-05-24,Yes,0.02,10,6,587427
33,Ottawa,Apartment,3705,Vacant,2062,4,2,2021-02-24,12,10281,227,33,243,2015-11-04,Yes,4.37,11,2,923566
34,Toronto,House,2953,Vacant,3681,4,2,2016-07-04,18,8973,349,9,416,2016-11-08,No,1.52,13,2,562477
35,Halifax,Condo,1207,Vacant,584,1,3,2020-04-07,10,11392,600,52,122,2016-04-26,Yes,3.15,10,9,175024
36,Toronto,Townhouse,2195,Rented,2968,3,2,2018-10-25,14,9428,104,2,67,2022-01-04,No,2.91,18,4,173636
37,Halifax,House,2264,Vacant,309,2,2,2023-04-12,35,8382,582,47,202,2020-09-13,No,4.3,12,2,762134
38,Halifax,Apartment,875,Rented,3380,3,3,2022-01-05,12,6173,939,23,462,2017-05-26,Yes,1.98,18,7,377872
39,Calgary,Townhouse,3642,Vacant,405,4,2,2016-02-12,22,9687,599,82,357,2017-08-13,No,0.85,5,8,765882
40,Winnipeg,Condo,1624,Vacant,1668,1,1,2015-06-29,11,8305,662,83,18,2018-10-22,Yes,4.32,8,2,437698
41,Edmonton,House,800,Rented,3194,2,1,2019-02-14,27,10718,243,12,18,2018-04-20,No,2.67,15,1,750874
42,Ottawa,Apartment,2129,Vacant,3637,3,3,2017-03-24,6,4186,461,47,423,2022-02-01,Yes,0.84,15,3,350812
43,Ottawa,Townhouse,3866,Vacant,986,1,3,2018-07-25,12,5097,143,81,327,2016-01-08,Yes,1.71,16,9,500569
44,Calgary,Townhouse,2610,Rented,703,1,1,2018-05-22,11,8829,895,1,156,2021-10-17,Yes,4.29,18,8,993182
45,Winnipeg,Townhouse,1347,Rented,3802,1,1,2018-12-13,10,11708,298,42,70,2019-11-03,Yes,1.47,4,3,640521
46,Winnipeg,Apartment,3363,Rented,1003,2,3,2020-12-17,23,10223,947,68,456,2019-03-11,No,0.83,0,3,471559
47,Montreal,Condo,2591,Rented,1539,4,2,2022-07-08,31,4613,455,9,401,2022-09-07,Yes,4.99,7,1,629895
48,Edmonton,Townhouse,1765,Vacant,1087,2,2,2020-06-05,10,6712,952,47,216,2021-03-14,Yes,1.0,11,7,599800
49,Ottawa,Condo,2987,Vacant,3306,1,3,2020-04-08,8,4993,855,33,306,2021-09-04,Yes,2.83,5,8,604811
